smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id
CCNC(=O)N1Cc2cc(C(=O)N3Cc4ccccc4C[C@H]3C)c(-c3cc(C(=O)N(C)c4ccc(O)cc4)c(C)n3C)cc2C1,,CHEMBL5824288,605.739,5.614820000000007,2,5,98.12,5,4,45,0.3055555555555556,0.308899922317954,19.0,7.7212,1,active,0.8,7.72,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)NCc2ccccc2)C3)n1C,,CHEMBL5767189,667.8100000000001,6.795120000000009,2,5,98.12,6,5,50,0.2439024390243902,0.2083608601385508,8.4,8.0757,1,active,0.8,8.08,CHEMBL5732950
CC(=O)N1Cc2cc(C(=O)N3Cc4ccccc4C[C@H]3C)c(-c3cc(C(=O)N(C)c4ccc(O)cc4)c(C)n3C)cc2C1,,CHEMBL5970546,576.6970000000001,5.431820000000006,1,5,86.09,4,4,43,0.2857142857142857,0.351089902808977,42.0,7.3768,1,active,0.8,7.38,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCN(C(=O)Cc1ccc(CN3CCN(C)CC3)cc1)C2,,CHEMBL6059840,805.0359999999994,6.935400000000008,1,7,92.57,8,5,60,0.38,0.1830482282729618,3.6,8.4437,1,active,0.8,8.44,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccccc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)Oc2ccccc2)CC3)n1C,,CHEMBL5994212,652.7950000000001,7.421220000000009,0,5,75.09,5,5,49,0.2439024390243902,0.1981317348772175,3.8,8.4202,1,active,0.8,8.42,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccccc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(C(=O)Oc2ccccc2)CC3)n1C,,CHEMBL5864714,737.901,6.733520000000008,0,7,87.56,7,5,55,0.3111111111111111,0.1842284243948983,3.4,8.4685,1,active,0.8,8.47,CHEMBL5732950
COc1ccc(CCCN2Cc3cc(C(=O)N4Cc5ccccc5C[C@H]4C)c(-c4cc(C(=O)N(C)c5ccc(O)cc5)c(C)n4C)cc3C2)cc1,,CHEMBL6056802,682.8650000000001,7.52672000000001,1,6,78.25,9,5,51,0.3023255813953488,0.1740635351546531,21.0,7.6778,1,active,0.8,7.68,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccccc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2CN2CCOCC2)CN(C(=O)Cc2ccccc2)CC3)n1C,,CHEMBL5872522,735.9289999999999,6.303820000000008,0,6,78.33000000000001,8,5,55,0.3260869565217391,0.1870591844629451,2.5,8.6021,1,active,0.8,8.6,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccccc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)Cc2ccccc2)CC3)n1C,,CHEMBL6037009,650.8230000000001,6.991520000000008,0,4,65.86000000000001,6,5,49,0.2619047619047619,0.199067684107354,3.4,8.4685,1,active,0.8,8.47,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccccc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CNCC3)n1C,,CHEMBL5906342,532.6880000000003,5.509820000000006,1,4,57.580000000000005,4,4,40,0.2941176470588235,0.377173457109577,622.0,6.2062,1,active,0.8,6.21,CHEMBL5732950
